address,campus_name,category,district,location,name,slno,th_campus,type,university
"Don Bosco College, Mannuthy, Thrissur 680 651","Don Bosco College, Mannuthy",Arts/Science/Commerce College,Thrissur,https://www.google.com/maps/search/?api=1&query=Don%20Bosco%20College%2C%20Mannuthy%2C%20Thrissur%20680%20651,,19,False,Unaided,Calicut University
"St. Thomas College, Thrissur-680 001","St. Thomas College, Thrissur",Arts/Science/Commerce College,Thrissur,https://maps.app.goo.gl/pry6wCRURwK6sPu88,,20,False,Aided,Calicut University
"Sree Kerala Varma College, Thrissur-680 011","Sree Kerala Varma College, Thrissur",Arts/Science/Commerce College,Thrissur,https://www.google.com/maps/search/?api=1&query=Sree%20Kerala%20Varma%20College%2C%20Thrissur-680%20011,,21,False,Aided,Calicut University
"Little Flower College, Guruvayur, P.O. Puthanpally, Thrissur-680 103","Little Flower College, Guruvayur",Arts/Science/Commerce College,Thrissur,https://www.google.com/maps/search/?api=1&query=Little%20Flower%20College%2C%20Guruvayur%2C%20P.O.%20Puthanpally%2C%20Thrissur-680%20103,,22,False,Aided,Calicut University
"Mar Dionysius College, Pazhanji, Thrissur-680 542","Mar Dionysius College, Pazhanji",Arts/Science/Commerce College,Thrissur,https://maps.app.goo.gl/vwQAhyd2dQZVGB6Y9,,23,False,Aided,Calicut University
"St. Aloysius College, Elthuruth, P.O. Elthuruth, Thrissur-680 611","St. Aloysius College, Elthuruth",Arts/Science/Commerce College,Thrissur,https://maps.app.goo.gl/WuU1J8RvY8iAShq77,,24,False,Aided,Calicut University
"Sree Vivekananda College, Kunnamkulam, Kizhoor P.O, Thrissur-680 523","Sree Vivekananda College, Kunnamkulam",Arts/Science/Commerce College,Thrissur,https://maps.app.goo.gl/avdnYKnBdMUGCPkZ7,,25,False,Aided,Calicut University
"Government Fine Arts College, Thrissur","Government Fine Arts College, Thrissur",Arts/Science/Commerce College,Thrissur,https://www.google.com/maps/search/?api=1&query=Government%20Fine%20Arts%20College%2C%20Thrissur,,26,False,Aided,Calicut University
"College of Applied Science, Chelakkara, Pazhayannur, Thrissur 680 567","College of Applied Sciences, Chelakkara",Applied Science (IHRD),Thrissur,https://www.google.com/maps/search/?api=1&query=College%20of%20Applied%20Science%2C%20Chelakkara%2C%20Pazhayannur%2C%20Thrissur%20680%20567,,27,False,Aided,Calicut University
"College of Applied Science,Valappad (P.O), Thrissur - 680 567","College of Applied Sciences, Valappad",Applied Science (IHRD),Thrissur,https://maps.app.goo.gl/CE2MY9H8uXryg8a78,,28,False,Aided,Calicut University
"Government Law College, Ayyanthole, Thrissur 680003","Government Law College, Thrissur",Law College,Thrissur,https://www.google.com/maps/search/?api=1&query=Government%20Law%20College%2C%20Ayyanthole%2C%20Thrissur%20680003,,29,False,Aided,Calicut University
"Thaqwa Aflal-ul-ulama Arabic College, Andathode, Thrissur","haqwa Afzal-Ul-Ulama Arabic College (Womens   Arabic College), Andathode",Arabic/Oriental Title College,Thrissur,https://www.google.com/maps/search/?api=1&query=Thaqwa%20Aflal-ul-ulama%20Arabic%20College%2C%20Andathode%2C%20Thrissur,,30,False,Aided,Calicut University
"Government Engineering College, Engineering College PO, Thrissur","Government Engineering College, Thrissur",Engineering/Technical College,Thrissur,https://maps.app.goo.gl/5Fo8Q5QwjfWXd7MB6,,31,True,Aided,APJ Abdul Kalam Technological University
"MET 's School of Engineering, Mala, Thrissur 680735","MET  s School of Engineering, Mala",Engineering/Technical College,Thrissur,https://www.google.com/maps/search/?api=1&query=MET%20%27s%20School%20of%20Engineering%2C%20Mala%2C%20Thrissur%20680735,,32,False,Unaided,APJ Abdul Kalam Technological University
"Nehru College of Engineering and Research Centre, Pampady, Thrissur","Nehru College of Engineering and Research Centre, Pampady",Engineering/Technical College,Thrissur,https://www.google.com/maps/search/?api=1&query=Nehru%20College%20of%20Engineering%20and%20Research%20Centre%2C%20Pampady%2C%20Thrissur,,33,False,Unaided,APJ Abdul Kalam Technological University
"IES College of Engineering Chittilappilly, Thrissur","IES College of Engineering, Chittilappilly",Engineering/Technical College,Thrissur,https://www.google.com/maps/search/?api=1&query=IES%20College%20of%20Engineering%20Chittilappilly%2C%20Thrissur,,34,False,Unaided,APJ Abdul Kalam Technological University
"Sree Narayana Guru Institute of Science and Technology (SNGIST), Thekkethazham, Mannam PO, N.Parur, Ernakulam-683 520","Sree Narayana Guru Institute of Science and Technology (SNGIST), Thekkethazham",Arts/Science/Commerce College,Ernakulam,https://www.google.com/maps/search/?api=1&query=Sree%20Narayana%20Guru%20Institute%20of%20Science%20and%20Technology%20%28SNGIST%29%2C%20Thekkethazham%2C%20Mannam%20PO%2C%20N.Parur%2C%20Ernakulam-683%20520,,35,False,,Mahatma Gandhi University
"Elijah Institute of Management Studies (ELIMS), Ponganamkad, Kurichikkara PO, Thrissur 680028","Elijah Institute of Management Studies (ELIMS), Ponganamkad",Engineering/Technical College,Thrissur,https://www.google.com/maps/search/?api=1&query=Elijah%20Institute%20of%20Management%20Studies%20%28ELIMS%29%2C%20Ponganamkad%2C%20Kurichikkara%20PO%2C%20Thrissur%20680028,,36,False,Unaided,Calicut University
